,Tweet
58,日本は世界の王であるが、日本人は、その手足でる。日本列島を世界の型にしたのは日本人ではなく皇神で ある。皇神が日本を世界の王に定めたのだ渡来した弥生人は、つまりはウラルの民、イスラエルの末裔である。ただ預言に従って極東に来て、サウル王の頃からの武力をもって日本の原住民を東征！
59,"寝ぼけたことを言ってる、やってる政治家は全員クビで。だって税金だからね、お前らの給料。
#薗浦健太郎 
#北村誠吾 
#茂木敏充
#岸田文雄"
60,統一教会自由民主党議員達は事なかれ主義であり国防を蔑ろにしている。自衛隊強化=国民の生命の安全。だと認識出来ていない愚者の集団！政治家は小銃を持って自衛隊より先に戦線に行け！ https://t.co/dBb1Pi0XSi
61,"「その使命の達成のためには、そのときどきの政治的、行政的便宜というようなことの掣肘を受けることのないように、高度の自主性が与えられており、ここに本会議の重要な特色がある」日本学術会議の意義はここにあり。
これを理解できないのであれば政治の劣化ここに極まれりだな。"
62,"@mizuhofukushima
@keijihaneda
@sdp_tokyo
@kyoko_ijichi
@yusuke_aoki_sdp
@nakaemiwa
@R71xpCT1HlAFxrw
登記簿謄本。佐藤梓氏の政治団体の会計責任者が堀之内出版を佐々木隆治氏の後に代表に就いた人物。POSSEや佐々木に疑惑が出て、明確に否定していない以上、社民党に対しても説明責任があります https://t.co/f5TYBxA5aQ https://t.co/w7pIwJEeG7"
63,福島瑞穂 議員の政治家としての評価を5段階で - 人気ブログランキング 投票／アンケート https://t.co/szFR2v2cCd
64,"#燕雲台
私はこのドラマのどこの何に期待しているの……
豪傑な燕燕が本当に国を背負って宋と戦うダイナミック展開なのか、漢制と部族制がせめぎあう遼の政治システムなのか、明扆なのか、脇のイケオジなのか、血に飢えた皇帝なのか……
とっ散らかってるなう
あ、胡輦さんの輝く美貌かも！"
65,"ほんとに世間様呑気すぎ
どんだけ好き勝手させるんや
ワールドカップもいいけどもっと政治にも注目しなよ
しれっと法律変わったんだぞ。
日本や子ども達の未来はどうでもいいんですか？？

政府、放置された空き家の“税負担増”検討　実施で税額4倍程度に | Share News Japan https://t.co/6jEXccnxkV"
66,カス自民党の失政やで。政治は結果なんですよ、みなさん。 https://t.co/gi42I4TrJK
67,サラリーマン政治家をやり続けて、家と貯金に歳費を回して経済もマーケットもわからず総理大臣になった男。凡人でも座れる椅子なら夢がありますねー(棒読み) https://t.co/7BQ23hNWUv
68,"第２次大隅内閣の内務大臣時に汚職事件「大浦事件」により失脚した政治家は大浦○○？○の名前をひらがなで答えなさい

A.かねたけ（大浦兼武）"
69,"『原発の使用延長』
こんな馬鹿げた判断は無い
福島の事故をないがしろにし、技術的な判断を無視し、
ただただ政治的、経済的、な判断をする政府を自民党をぶっ潰さない限り日本は世界から非難されるだけ"
70,"不要不急の増税も控えて欲しい。
国民は言う事を聞くが
政治家は耳を傾けないのか、聴くことができないのか。
低収入高税金で懐は寒くなるばかり。

首相 大雪予想地域は外出控えて 2022年12月22日 https://t.co/nJsfuQEmsy"
71,"うん
軍拡だね
アメリカの代理になりたいバカ政治家が多くて"
72,オーバーロード見て思ったのは異世界ものって中世の政治ばっかりだなと
73,声優も役者だけれども、作品において大きく違うのは、起用のされ方だと思う。顔出しの役者はそれなりに売れてくると主役か同クラス、ベテランになると止めでないといけないようで。声優はあくまでも役の重要順でスタッフロールに並ぶし、配役も合う人が選ばれてるよね（多少の政治はあるだろうけど）。
74,"いやいやｗ
コイツがバカなんじゃなくてコイツを当選させた有権者がバカなんだよｗ
これ見て政治家の給与を下げろと叫ぶ維新みたいな奴は更に上を行くバカだから気を付けろよなｗ https://t.co/RUnW6d9FnB"
75,"@Dokkano_Kuma 言ってること＝科学を重視、
やってること＝科学を無視、風評による暴力
なので、政治家って何者なんだ、、って思いますね。
政治をしない政治家ってことか。"
76,"架空の論文を捏造して、引用している論文

「デュヴェルジェの法則の実験研究」“Duverger’s Law in the Laboratory”
『政治経済学の新潮流』勁草書房　ISBN978-4-326-30209-3"
77,ヘンな政治活動しないとか、中国や外国勢力に協力しないとか、念書でも取ればいいんじゃない？ https://t.co/4UflCi3o9Y
78,嫌なら別のもの売ればいいだけの単純な話の筈だが、潜在的な弱者を囲い込んで政治的に利用しちゃう痛い連中がいるから厄介だよね。ある意味、彼らも（仮想市場で）搾取する側じゃねえのｗ https://t.co/3MeLpvKP40
79,"結局、めちゃくちゃ頑張っている看護師さんたちは使い捨て。
手当すらしない。
経営の名のもとにやってはいけないこと。
役割が違うだけで同じ人間。
政治行政経営者金持ちが偉くて凄い？
役割を果たせよ…"
80,どのあたりが破綻してますか？ https://t.co/0RwLMbmsBZ
81,"「二元代表制」
日本の都道府県とか市町村にある、
市長「俺は市民の選挙で選ばれてるんだぞ！」
議員「俺たちも市民の選挙で選ばれてるんだぞ！」
って仕組みのこと。

国の場合、国民の選挙で選ばれてるのは国会議員だけなので、全然違う。"
82,@uikohasegawa それを止めるのが岸田以外の政治家のお仕事でしょうかね。
83,"@qGfLva5zpPwUZVJ 知識や技術も全く無い馬鹿な政治家が考えること。
#岸田総理 #岸田内閣 #岸田政権"
84,人としても政治家としてもどうかと思うし、我が子まで差別排他するような政策を是とする人を認める気にはなりません。残念ですが。 https://t.co/i0pQpPtqRh
85,"閉鎖的な田舎はとにかくえげつない。
周り皆同じと言うのが常識みたいな考えしているので、少し違ったら速攻で噂話回されて村八分になる。
私の実家周辺がまさにそんな感じ。
その中でも村八分にされないのは学校の先生か政治家の家系。"
86,@Sankei_news 政治のていた●✕▲なのに。
87,"大正解
奴らも生活がかかってるから必死の抵抗されてしまう。
だから減税しかないんです。
ちなみに、民主党時代に事業仕分けが失敗したのもご指摘のしがらみや政治が原因です。 https://t.co/asjWTiJgsv"
88,"政治資金不正は
悪夢の民主党政権菅直人首相の外国人献金とか
辻元とか
バカ野党も盛んにやってるのに

朝日は自民党だけ延々と断罪
収賄でもないのに

これは民主主義の為でなく政府打倒の偏向報道

こんなに野党の不正を見逃したら
国民は皆政治資金不正は軽い問題だと思うよhttps://t.co/kac63lsxR3 https://t.co/ozoQY9p1G7"
89,"かつてジョン・レノンは「相手が想像もつかないやりかたで僕は政治権力と戦いたい。それが最良の戦法なのだ」と語った。その2020年代的展開をここに見た気がする。日本のエンタメ業界もこんなふうに私を驚かせてほしい。
https://t.co/cS0KOQlUAL"
90,軍縮のベクトルでの軍事バランスの是正と平和外交を成し遂げたのがゴルバチョフだったわけで。彼の政治的業績は単なるお花畑と無価値化されるべきものではなく、政治学的外交史的に有意味と思う。なにかというとお花畑とレッテルを貼り、試論すらも無意味なものと断定する風潮がある。
91,"ふ
ざ
け
る
な
!!

最悪な政治にはボイコットを!!

成長が期待できない産業の延命という悪手 原発60年超え運転方針を正式決定へ 原発事故収束のゴール見えぬ中 https://t.co/9InE0FkEsG"
92,@kentani_0222 えー戦争に行った祖父はここのこと悲しんでましたよぉ。みんなお国の為と無理矢理連れて行かれて。ここは政治的に利用されてるだけだって。個々に大事にとむらう事が大事だって。戦争を二度としない。ここでなく慰霊会でいいはずだみたいな事を言ってたよぉ。戦後世代だからよくわかんないけど…
93,監督自らはっきりと発言しているアバター2の反捕鯨要素はあんま燃えてないのに、エッセンス程度で監督も特に深く言及していないBLACK SUNの政治要素が燃えるのは一体。
94,巣立って鳥がいなくなったらLEDでランプ作りたいな？ https://t.co/o5B0nqqDxO
95,東アジア法・政治入門の授業でTAみたいなのやってた時、先生が朝鮮王朝末期の政治家キム・オッキュン(金玉均)の名前を出したんだけど、わざとじゃなくてほんとに正確な名前と漢字を思い出せなくて「金玉キュン」って調べたら、全然違うものが出てきて急いでiPad伏せた https://t.co/C80z5T5Fkq
96,"#wbs 
GDP　０で
エネルギー、物価高、負担増で不景気
死んでるだろ、この国
勤勉な国民は、ずっと頑張ってるんだよ。
全部、政治のせいだけだぞ。
もういい加減にしろ。
いらねえ事だけ、決めやがってよ。
#報道ステーション 
#ニュースウオッチ9
#livenewsα
#news23"
97,"#kgin小屋
今YouTubeの台本書いてまして、正に台詞を書きまくってます（笑）

好きな台詞は沢山ありますが、銀河英雄伝説は宝庫ですね。
「政治は、それを軽んじた者に必ず復讐するんだ」
なんて、金言だと思いました。 https://t.co/QeWlfZyuCp"
98,02703.中央の豪族を政権の支配下に組み入れるための政治的身分制度を何というか？【★】 #日本史
99,"政治家の年収って
日本の平均年収じゃダメなんですか？"
100,だいたい参院選で溝手を見殺しにし、世話になった古賀さんを切り、安倍さんのけつ舐めして総理にさせてもらったものの、安倍さんいなくなったらにっちもさっちもいかなくなった「リベラル宰相」ってなんやねん。ただの日和見野郎でしょ。 https://t.co/Wl7CMJMWrk
101,既に、サヨナラ済みです。 https://t.co/gCuFoej9iI
102,"英語のモチベ復活してきたのでこれに沿ってCNNEE1月号、頑張ってみます！
リスニングは思ったより出来ていましたが、苦手な分野が明確…(政治系)
頑張ります🔥 https://t.co/tD8ZjVnswW"
103,"@PA3JZsHy9X18ZF1 @NorihiroUehata @ajiguchi そこは同意でございます😀
追及も必要、市民に寄り添う政治も必要。どちらの議員様にも働いて頂きましょう💦
ありがとうございました。"
104,"いくらいい技術でも、それを使う人間が馬鹿だと意味がないというか逆効果。
金、金、金、金
本当に政治家って人間の糞しかいませんね https://t.co/dbncRYJupa"
105,元ツイートだけなら「心中お察し申し上げます」と言えるが、この補足はいただけない。「力量」のある政治家の違法は見逃せという意味にしか読めない。 https://t.co/KccJcvGysE
106,"そうなんですか？知らないと信じてしまいますね。プロパガンダはこうして浸潤していくのか？コワイですね。
ただ、政治やイデオロギーに関係ないと警戒心が稀薄なので騙されやすいことは確かだ。まさか丸亀監修のPRビデオではないでしょう！？ https://t.co/FRKVWHrWj5"
107,"有名な芸能人とかがSNSで政治についてコメントすると『芸能人のクセしてコメントすんな』とかあるけど、有名な芸能人とかが年齢関係なく良い事も悪い事もコメントしてれば、興味持つ人が増えると思うのにと思う🤔
芸能人のクセしてとかあるなら、一般人のクセしてコメントすんなと言われても仕方ない"
108,"山際大志朗が公職選挙法違反で告発され横浜地検が受理。
疑惑を招いて告発されるような人間が政治家であるべきではない。恥の上塗りを辞め辞職しろ！

 #山際大志郎 
#自民党政治を終わらせよう 
#自民党に投票するとこうなる 
#自民党が滅びなければ日本が滅ぶ 
＃自民党
#岸田辞めろ 
#岸田"
109,人を相手とせず、天を相手とせよ。天を相手として己を尽くし、人をとがめず、わが誠の足らざるを尋ぬべし。/西郷隆盛(薩摩藩士、軍人、政治家)
110,@anonymous_post2 政治家辞めたら？
111,"マイナンバーカード健康保険証 システム導入4割で延期へ | NHK政治マガジン
&gt;&gt;差額をさらに広げることで、マイナンバーカードと一体化した健康保険証への切り替えを促したい考えです。

最悪😇 https://t.co/OC0etGbref"
112,"⚠️加工写真OKは危険⚠️

政治家女子４８党　立候補　申込み方法詳細　締め切り12月25日 https://t.co/yMBMpWX9yC @YouTubeより"
113,"本当にとんでもない速度で政治の悪いニュース出てくる。これがあと少なくても4年続くとか......
さっさと資金蓄えとかんとなぁ。"
114,肉屋を支持する豚の中に頭のいい人はいない
115,"@acGiappone 知識や技術も全く無い馬鹿な政治家が考えること。
#岸田総理 #岸田内閣 #岸田政権"
116,政治家の人気取りに使われちゃってるよ長友さん
117,沖縄の人達は皆人が良いから、政治利用されるのが嫌な人達はすでに東京に逃げてきてます。
118,@fuckin_____g @sugaring_yw すまん日本の政治について語ってた
119,"政治家とか支配層が得てして市民に対して冷酷なのは冷徹なロジックで動いてるというわけではなく端的に信じられないほど愚劣で鈍感なだけ、という一例なんやなぁ
能力や性格の問題なのか構造の問題なのかは知らんけど https://t.co/1yXqPrL15y"
120,北条義時とがっつり伴走する政治家・北条政子が見たかったという気持ちは北条姉弟バディ推しとしては捨て難いので鎌倉殿の政子は個人的に解釈違いの部分が大きいんですけど、それでも小池栄子さんは解釈一致なんだ…（小池さんが解釈一致って何？）
121,"働く人の幸せを考える政治も必要なのに
どうして左翼政党はみんな反日なんだろう？"
122,@oyasumichuda2 @kichise0403 思えばローマ帝国の共和政も三頭政治から崩壊したんだよね。
123,"なにがツインでミックだよ！魔女め！
堕落した都民、甘い汁を吸う害虫、堕落した政治。
それでも…！(Ｐユニえあぷ) https://t.co/a8irxXh3H5"
124,じゃあ政治学史基礎のレジュメは鼻噛むとかに使っといてください
125,「負担要請、政治家の規則順守前提」中谷元・首相補佐官(日経新聞)https://t.co/B3i73NQMNM
126,"誰もいないアピール？
自虐ネタお疲れ様。
それだけ人望ないし日本の為に動かない政治家は日本にいらないので辞職してください。 https://t.co/9emldyW9Uo https://t.co/SPWVw2rd9V"
127,"日本の政治何やってんだか、国民の為には何もやってない！時間稼ぎだけ、問題ずらしハイそれまでよ！無責任この上なし！
マスコミ馬鹿だし、どーにもアホな国になってます。 https://t.co/zGYbTojTFZ"
128,エネルギー危機が来たらどうするのか？ それを説いて憎まれ役を負うのが政治家じゃないのか
129,"外国にいい顔しようとしてるのが明るみに出たね。岸田さん。ヤケクソ政治家。
 #皆が年越せるよう一律に給付金配れ"
130,"@Koume4444pompom 小野田紀美議員は素晴らしい！
日本の国益にならない事を信念を持って発言する…正しい方向に変える力がある！
まるで聖職者のように心清らかに正義を貫く…
政治家だ！

問題は岸田総理には
本当に聞く力があるかだ⁉️
最優先は日本の宝、学生さんだ🌈忘れるな🌈"
131,政治力でなんとかしてるのもおかしいよな…
132,@kapibarachan_yt なぜ？そこを見る😅収支報告書等を見ればいいやん😂政治と金を…で政治家なるの？
133,"選挙権あるのに選挙行かずに政治に文句言ってる奴マジで謎
選挙行っても変わらんとか言うけど行動してないのに変わるわけないやん👽"
134,"なんでもやり過ぎは良くない。
個々に自分の家や土地にパネル設置するのは自由だけど…

ここまでは酷すぎる。国会議員で問題視してる先生もいるが、数少ない

現状はカーボンニュートラル、SDGsの本当の目的に合っていない
#太陽光パネル #カーボンニュートラル #SDGs #環境破壊 https://t.co/UmyG1Wd3eW"
135,共産主義が一番独裁政治に近い思想だと思うのです。
136,"ドバイの王政制度、神権政治体制というイラン。
何だろうこの時代錯誤。＞"
137,"【9人に1人が前立腺癌になる時代でっせ～】
『…前立腺癌財団のために100,100ドルになりました…』
なんのこっちゃようわかりまへんのやけど,New zealandのArdern首相が政敵と協力しぃやって政治Scandalを逆手に取ったAuctionの落札金100,100NZドル(830万円)を…
…続く_1
https://t.co/ipDjxy3ypS"
138,その方が軍需産業が儲かるからでしょうね。。バイデンはそれらの片棒を担いでるのですし。 https://t.co/ssdhJZ0CMj
139,"はぁ。旦那とまた揉めた。。
親が信仰してるもの(参政党)に子どもを巻き込むな、だそう。
これだから『政治=宗教』の思考から脱却できない人は嫌なんだよ。
党に神様はいないよ、目覚めた一人一人が神様だよ。つまり自分だよ。
自分を鼓舞するのに服買って党費も払ってんだよ(NWビジネスとも言われた)"
140,めちゃくちゃダサいし頭悪い https://t.co/I9zKFaU22q
141,"自由なのは自由だよ
だ、け、ど
自由にさせない人や施設があるから困ってんだよ
結局強要してくる元凶を止めないといけないのになーんもしない政治家や省庁 https://t.co/TESQCDhS4U"
142,高齢者が3分の1の国でtwitterでの政治戦略は効率悪いよなぁ
143,"この雪でEVの限界が見えたのに、何故か韓国のEV車にカーオブザイヤーを与えるジャーナリスト。
発電量が足りないのに、我慢を強いるかタートルネックを勧めるバカな政治家。
日本の国土や環境を考えたら、選択肢は一つしかないんじゃない？綺麗事で生きていけるの？
「汚染水」とかいう奴は黙ってろ。"
144,"#自民党が滅びなければ日本が滅ぶ 

些細な事から戦争に発展してしまう。

本当にすぐそこまできてる気がします。

始まってしまえば「俺は行かんから！！」と息巻いている人達も強制連行されるでしょう。

本当に他人事ではないのに国民の大半はなぜこんなにも無関心なんでしょう…"
145,"#一月万冊 
#清水有高 #本間龍 #Youtube
自民党・薗浦健太郎議員が辞職へ。岸田自民党に更なるダメージ。4,000万円の政治資金をちょろまかし、銀座で豪遊した東大法学部卒業のエリート議員。元博報堂 作家本間龍さんと一月万冊。

https://t.co/b5PZBr4g8o"
146,@yoyaMACD 門が参院選補選で負けることは考えないということか。
147,江戸幕府がもう少し長く続いていたら、幕府札という不換紙幣が発行されていた。維新政府の側からは太政官札という不換紙幣が発行されていた。つまりこの当時はヘリマネを普通にやっていたわけだ。それでインフレなんか全然怒らなかったわけだから。いまの政治家や役人の方がはるかに頭が古いわけだ。
148,「政治を変えるためは選挙制度を変えなければ」との意見には同意できない。政治を変えるためには有権者が賢くならなければいけない。賢くないならどんな選挙制度にしても騙され続けるだろう。そもそも選挙制度を変えるなら、まずは今の選挙制度で政権を交代させなければならないのだし。
149,"コード175-コード176

※コード175
175人。黄砂。台湾地震。穴。放射線被爆。人影。影。夢。影武者。キス。替え玉。受験。ガス。水道。電気。政治家。175歳。ストーカー。中華街。黒い帽子。家。175年。ゆめタウン。門。騙し。ダミー。宅配業者。中国人。黒い服。門。扉。家。"
