,Date,User,Tweet
10,2022-12-22 13:43:10+00:00,hirokazuendou,"欧米の法律では、統一教会の政治家支援は何か違法になるのだろうか？

日本に連れてきたのはCIAらしいし。
国際的な民主主義国での価値観からは日本の位置はどうなっているのかは、これについてもマスコミが機能せず閉じてる世界なので一点突破して欲しい。
#週刊現代
にまるなげ。
日刊じゃなく？"
11,2022-12-22 13:43:08+00:00,6yota209,@FluorescentPuff ちんちんないなった
12,2022-12-22 13:43:07+00:00,SugioYoichiro,"７８才です
世の中の役に立つ為と教えられました
でも今の政治家達を見てるとネェ😢
願わくば物事を正しく判断する為の
教養であって欲しいですね。
自己形成っていうやつですか？
「物心両面豊かな」人生のために https://t.co/CeTktgfX1n"
13,2022-12-22 13:43:07+00:00,madao_duelist,"なんだろう、マトモな政治家を作るスキームが必要とされてる気がする。
そうでないと、ゴミクソ野郎どもの中か、1番ましなクソ野郎を選択せざるを得ないというとても苦しい状況になっちまうのか…"
14,2022-12-22 13:43:06+00:00,printkougei,"@ozawa_jimusho 政治家アルアルでは？

公約は選挙で当選するため。
当選したら言葉撤回。
政治家にしかできない言葉の撤回。"
15,2022-12-22 13:43:05+00:00,mj49ishida,"どうしようかな？
また、新潟県職員に採用された。
政治から離れるか？
民主主義原理に乗っかるか？
まあまあ、民意はどうか？
愚民よ、覚醒できるか？
オラ、わかんねぇ？
虚しｨ😱"
16,2022-12-22 13:43:05+00:00,econdays,マティアス・クライン他「財政緊縮は政治的分断を引き起こす」（2022年12月15日） https://t.co/Z0MdFH4aZl (経済学101)
17,2022-12-22 13:43:04+00:00,Jk8K5,@himasoraakane どっかの政治家さんと違って行動で示す一般人男性
18,2022-12-22 13:43:03+00:00,nikaidogomes,"出たよ、出たよ！
その場凌ぎの行き当たりばったりな
the 自民党

福島でメルトダウンして放射能汚染してもまだ懲りないクソすぎる政治家

10年稼働してない期間に動かしてるより激しく老朽化するっしょ
アホなこというなという話

#Yahooニュース
https://t.co/SBVsAJ83Da"
19,2022-12-22 13:43:00+00:00,JIGPIX1,"@ISOKO_MOCHIZUKI @ArcTimes1 A国とB国どちらが先に攻撃したか…

その後百発.1000発.1万発撃ち合って
最初の一発はどんな正義であろうが

最初の一発を撃たせたことが戦争を始めたことであり両国民の生命は抑止の為の殺人兵器でまた死んで行く。

抑止論の軍拡の【お花畑】に住む国民を守る為に先に撃つ勇ましい政治家像に酔う馬鹿"
20,2022-12-22 13:42:58+00:00,Y7PkfvsZJVbL0tG,"@matthew_hide @Bravest01 政治家としてふさわしくにゃい〜！ブヒ〜!!
（立花党首のモノマネ風）"
21,2022-12-22 13:42:53+00:00,tyhfaYbGoAwJaU4,"@YS0fclc9xvER9Bm @GOBURO 口から出まかせとは？？
死文化の意味が分かってますか？

死文化とは効力を失ったと言う事ですよ？疑うなら辞書で調べてみては？

中露は旧敵国条項を盾に攻撃なんて出来ないんです。

リスクとは中露が拒否権発動することです、政治的要因で条項内容に関係なく西側の提案を拒否する可能性です。"
22,2022-12-22 13:42:50+00:00,redstar46068431,"祖母。日教組出身、清美、みずほ支持者。
普通の日常生活を送っています。 https://t.co/LTxmmBt63E"
23,2022-12-22 13:42:46+00:00,kumakum57935137,"@no17_ren 最近、政治家のバカな話ばかり耳にしてるから

やっぱり、猫たちの方が人より上の生き物なんだなとつくづく思います

害でしかない生き物が上なわけないですねぇ"
24,2022-12-22 13:42:43+00:00,weeklyyyyy0408,"今年は忙しかった。というか今が1番忙しい😢
もうちょっと残業減らして政治へ向き合う時間が欲しい。"
25,2022-12-22 13:42:41+00:00,southcity725,3月の国際政治チャンネルをたまたま見てその場で有料会員になったのが、今年一番良かった買い物だったのかもしれない。今年最後の国際政治チャンネル、メチャクチャよかった。杉雄先生、あんなにお顔を真っ赤にしながら、どの発言を取っても全部凄いの、凄いなぁ。最後のぶっ込み一言、痺れたなあ…。 https://t.co/BeXDsp5kUB
26,2022-12-22 13:42:37+00:00,acros26211291,@t2PrW6hArJWQR5S 国民もメディアも政治も機能不全
27,2022-12-22 13:42:37+00:00,keiseisuzuki,@by_1984 当たり前。いまだに敗戦国扱いされる覚えはない。こんなものをまだ覆せないのも政治家の怠慢。
28,2022-12-22 13:42:36+00:00,cppafV9BoVZKn2X,"#原発
岸田政権！「話を聞く政治」だったはずが蓋を開けりゃ、なんなんだーって思うぐらい、どんどん勝手に進んでいく。マジで日本はこの政権で落ちるとこまで落ちて、世界から置いてかれるね。"
29,2022-12-22 13:42:35+00:00,GSF1250S_Q,"政治資金の違反でやめたけど。誤魔化して集めた金の使い道は遊興費。
払った方もがっかりだろうね。
＃議員辞職。"
30,2022-12-22 13:42:30+00:00,yellowspan,"@gerogeroR 自分たちの思想に合わないやつが殺されたら、本音がバレていても隠すべき。
隠さずに喜ぶやつらが「平和と民主主義に反する政治家が殺されてOK」という受け止め方ってもう大矛盾。"
31,2022-12-22 13:42:28+00:00,yorisoibengoshi,もうね、納得です。もう25年以上も前、旭川で修習生してた時に、玉置浩二さんに縁のあるフォークギター弾き語りのバーに仲間と入り浸り、私も夢を語ってたわ。その夢には政治家の選択肢なかったけど(笑)。#SONGS
32,2022-12-22 13:42:26+00:00,kikitubuyaki,"@UME_CombCha5959 ですね、そしてその政治家を親たちが選んでる訳ですからね。

ロクでもないです。"
33,2022-12-22 13:42:26+00:00,seijika_meigen,「天国はすごくいいところらしい。 だって、行った人が誰一人帰ってこないのだから」by 不明
34,2022-12-22 13:42:25+00:00,tykurou,@hiroki_kamei 政治家の脂っぽい汗が顔や頭皮から出ているのを見るとやはりゴムはないなと思ってしまいます。よく言う岸田さんの首の線も上を向くと消えるしただの皺ですね。
35,2022-12-22 13:42:25+00:00,Lovetopeace196,"【速報】原発政策を正式決定　運転期間60年超に延長　建て替えへ方針を大転換(テレビ朝日系（ANN）)
#Yahooニュース
https://t.co/152UPEKUz0
安全なら政治家村を作って皆んな住まいさせればいい。
延長の理屈より全体に理解得られる案だろ？"
36,2022-12-22 13:42:24+00:00,gakusi202,"【中学社会83】＜歴史　２内容＞
(5) 近代の日本と世界
オ　第一次世界大戦の背景とその影響，民族運動の高まりと国際協調の動き，我が国の国民の政治的自覚の高まりと文化の大衆化などを通して，"
37,2022-12-22 13:42:24+00:00,L_z_m_i,#アシタノカレッジ　　エンタメの人が政治社会に関心を持っても日本の場合「エンタメと政治社会は切り分けろよ」という消費者が多いのが・・
38,2022-12-22 13:42:23+00:00,QuarrelBlue,"まあキャラクターが使えなくても言論そのものが禁じられるわけではないとはいえ。
「非政治的で国際な場としてのオリンピック」という理念がブラックパワーサリュートを排除したような事例も視野に入れて考える案件だと思う"
39,2022-12-22 13:42:23+00:00,kotsubo48,"私の判断において、保守政治家に改めさせて頂いております。昨日のBlog記事を丁寧になぞっており（まだ途中までしか聞いていませんが）綺麗なまとめ方だなぁと思いました。

やっぱりおかしいと思う。"
40,2022-12-22 13:42:22+00:00,yodobashidai25,「平和を良く思わない人がいる」。※それは平和では儲からない産業の人たち(軍需産業やその周辺企業)や、諍いがあった方が、自分たちの権益や権力を行使出来る人たち？。※経済界だけでなく、政治家にもそういう人がいるだろうな…。※メディアは大丈夫か？。#アシタノカレッジ
41,2022-12-22 13:42:22+00:00,sugersugerpot18,"@No5670226 ウクの代理戦争もユダヤ系の財閥と米の資産家が動かしていたみたいですから、想像以上に闇は深いのでしょう。お金は人の欲を駆り立てるのに、絶大な効力を発揮してますね。政治家、医者、メディア、大企業…。
日本人は平和ボケ過ぎて、他国の綺麗なとこしか知らなかったのですね…。"
42,2022-12-22 13:42:16+00:00,maruta5963,政治家先生の待遇良すぎるから庶民の感覚ないもんな #WBS
43,2022-12-22 13:42:15+00:00,Rifujinnimo,"W杯で「人権問題」に声を上げたのは選手たち　ロシアに対する出場停止処分も〈AERA〉(AERA dot.)
#Yahooニュース
https://t.co/NTMfKDuvFg
そういう場でどうこう言うのはええけど政治をスポーツに持ち込むなってどんだけ言わせるんだ。政治アピールすりゃ10点ぐらい入るならみんなやっとるわ。"
44,2022-12-22 13:42:13+00:00,syukyouseiji,なんでこんな思想を持った方が当選する？政教分離の徹底って共産党と同じこと言ってる。ヤバイでしょそれは https://t.co/XzeXWQVdFh
45,2022-12-22 13:42:04+00:00,cnWmaF78eURiM7K,@EmikoT14 景気はどんどん悪くなり、そのうえ、増税のはなしもでてきている！格差は広がり、貧困は増え続ける！マリーアントワネットたちに政治はまかせられない！れいわの出番です！ピンクの大地に変えよう！ https://t.co/O1E4mZ3NpR
46,2022-12-22 13:42:02+00:00,yuura2,２０２２年１２月２２日（木）「力の政治」 https://t.co/cRYaMSdVmH #gooblog
47,2022-12-22 13:42:01+00:00,TZnj9,結局政治家なんて人事なんだよな、あいつは、安倍の密偵だもんな。
48,2022-12-22 13:41:57+00:00,ryoumadayodayo,【岩田温】「日本人という事実が恥ずかしい」真木よう子さん、いい加減にしろ。【切り抜き/政治】 https://t.co/R0o2jwzMCA @YouTubeより
49,2022-12-22 13:41:56+00:00,aboejjh,@nhk_news 過去の全てのスキャンダルと、政治活動資金の出所を暴いて下さい。
50,2022-12-22 13:41:52+00:00,tetsuo575752,"サッカー世界ランキング 日本は20位に上昇 アジアでトップに

この辺りが今の日本の実力。

プロ化から約30年、W杯の初出場から24年

7度の出場からベスト16は4回

上出来と思う。

サッカー界は明るい未来。

この努力を政治も心底やってほしい。

恥ずかしくないから。 https://t.co/v9K9iUVV6L"
51,2022-12-22 13:41:52+00:00,shiroi_suna_2,@K1KCPGhe91LSae3 う～む。😔
52,2022-12-22 13:41:51+00:00,demokurasu,"【国会中心主義】 行政権が立法権よりも強くなる場合には、その政治組織はそれだけ独裁主義に近づいたことになる(第13章,3)  完全版→https://t.co/FYqFEgOM9O #民主主義,#国会,#独裁,#独裁主義 https://t.co/Hfamw064lt"
53,2022-12-22 13:41:50+00:00,JIKO73929225,@sharenewsjapan1 本当ならエライ話だが…。政治家達はしっかりと追及できるかな？いつか立場が逆転する可能性を恐れてﾅｧﾅｧにするのでは。流れ的に引き入れた側に重い責任がある。
54,2022-12-22 13:41:50+00:00,mutronphase2,@MIKITO_777 こういうまともな政治家が増える事を切願うばかりだ。
55,2022-12-22 13:41:49+00:00,book_punch_line,"俺も今汚い爺いたちに《はめこまれ》ようとしている⋯⋯
これが噂の社内政治ってやつか。"
56,2022-12-22 13:41:35+00:00,I_Be_,"山本太郎が小沢一郎の政治とカネについて暴露 https://t.co/vsncvesYqY @YouTubeより

小沢さん(最後かどうかわかりませんけど)もう一仕事れいわと一緒にやらないかなー"
57,2022-12-22 13:41:34+00:00,cosmatedechi,"""自民党政治を終わらせよう""なるハッシュタグがトレンドですが(&lt;いつもの)、終わらせるべきは『古い政治の""お作法""なり""悪しき繋がり""』、そこに党派や左右etc.は関係ない。自民維新だろうが立憲共産(無論他政党も)だろうが""平等に""評価し裁くべきです。"
58,2022-12-22 13:41:32+00:00,gaoqiaoren,"まぁでも芸能人やミュージシャンが政権批判すると「芸能人やミュージシャンは政治的なこと言うな！」って言う奴らって、スパイファミリーがマイナンバーカードの広報に使われてることについてはなんにも言わないよな
#アシタノカレッジ"
59,2022-12-22 13:41:28+00:00,oknotok19972017,長崎はろくな政治家おらんな
60,2022-12-22 13:41:24+00:00,nvh6eZBF7i4HI3k,"少子化と言われるけど自分の職場では、産休が続いててるうえに、友人と妹にも来年子供生まれるよ

知ってるだけでも、5人も！
元気に生まれてきてねおばちゃん君たちのために税金払うから

だから！よろしくね！！政治家さん達よ！"
61,2022-12-22 13:41:20+00:00,godQGRRw2sQ5rKp,"自らが反社会的勢力の典型的人間と自覚している国賊・安倍晋三−−−「反社会的勢力の定義曖昧」−−−と閣議決定！！
オツムが良すぎる！！
賛成した政治屋どもも🦌🐴！！"
62,2022-12-22 13:41:18+00:00,mk7ba,4件のコメント https://t.co/uvBZWrud94 “フジテレビ、政治部記者が岸田政権の総理周辺を籠絡か : 市況かぶ全力２階建” https://t.co/HptoAYfTww
63,2022-12-22 13:41:18+00:00,tkpokemondouga,"セーロン・マスク
「政治的なツイートがウザいなと思ったらブロックすればいいじゃない」"
64,2022-12-22 13:41:17+00:00,mikan_87_co_jp,"政治家の方をアイドルみたいに推しで
とらえるのが自分の中ではやっていて
やってたんだけど、中年男に色々と
されまくって意味不明な状態になり、
追っかけ的なことは終わった。"
65,2022-12-22 13:41:11+00:00,NIKEL360,@chiharu81 上司の指示で福岡出張してたのに、勝手に自己判断で出張したように言われ、上司が、社長に許可もらったうえで指示出してますよって言っても、記憶にないとかアホな政治家みたいなこと言ってるし。
66,2022-12-22 13:41:07+00:00,whoamIand_0401,政治以外は分はわきまえてる
67,2022-12-22 13:41:06+00:00,OxbuZB6rv3beD4g,"@izumi_akashi そういう老害は早く御隠居なさった方が良いですね。そういう時代じゃないので。
そうしたのは貴方たち政治家だ。
と言いたいですね。"
68,2022-12-22 13:41:06+00:00,y1105446,"#自民党に投票するとこうなる
#自民党政治を終わらせよう 

国会議員を20年以上やっていても「政治センスがない」と言われる人間が総裁をやっている自民党にまともな政治ができるわけがない。。"
69,2022-12-22 13:41:06+00:00,bandainokairai1,"休みはぶち抜いた
飛行機もとった

待ってろインドフランカー

安倍さんの遺影作って持っていくか"
70,2022-12-22 13:41:03+00:00,jyoho_sanbou,１、すべての増税に反対することを約束してもらう。２、規制を減らすことを約束してもらう。シンプルに、この2件を政治家の皆さんに、しつこくプッシュしましょう。これで政治が変わります。
71,2022-12-22 13:41:00+00:00,Joe_MILFlover,@Weiye0227 政治英一拼拼
72,2022-12-22 13:40:58+00:00,Seiji_74_Seiji,"@kottur_lover22 はい。
更に、作りたくなくなりました。
https://t.co/pIdJ2SDBY9"
73,2022-12-22 13:40:58+00:00,koujikikkawa,"編み物が好きで、政治的なブラックユーモアで爆笑しちゃうけどおっちょこちょい🎶🎶
腹が出てるだけの可愛い女の子なんだ🎶🎶🎶🎶🎶🎶"
74,2022-12-22 13:40:53+00:00,kimamani_touch,岸谷総理は原発や原子力を軽く考えているんだね、政治姿勢がそう浮き上がらせてる
75,2022-12-22 13:40:52+00:00,tyandori,ウヨに言わせれば「国からお金をもらっている学術団体は国の方針に盾突くな」と言いたい訳ですな。 https://t.co/GYr7Y4gwln
76,2022-12-22 13:40:50+00:00,Mshr64,"FNN、FNS、フジテレビ、フジテレビ系列、フジサンケイグループはいらない。今すぐ消えてなくなってもらいたいです。
自民党と公明党、維新はいらない。自民党と公明党の政府はいらない。安倍.菅自公政治、岸田自公政権、岸田文雄はいらない｡今すぐ消えてなくなってもらいたいです。今すぐ政権交代だ｡ https://t.co/lBh7Kns1Ab"
77,2022-12-22 13:40:50+00:00,Nagasakinomirai,"「大村入管で重傷」一時歩行困難に　元収容者が国を損賠提訴(毎日新聞)
#Yahooニュース
https://t.co/qDQ6trYIgH"
78,2022-12-22 13:40:46+00:00,SlowLifer935628,"むかしの政治家も悪党ぞろいだったが道路やトンネルなど人の役に立つ物作ることはしたぞ
今の政治家はてめえの懐に金入れることしかしねえ
ゴミクズみてえな奴らばかりだ"
79,2022-12-22 13:40:45+00:00,okihinu,"@oharan 出来上がった物がすぐに納品しちゃいけなくてしまいにはキャンセルになるかもしれないなんて自社に置き換えてもゾッとします。
特殊性ばかりに目がいってAV企業だってイチ業種である事に政治家達は気が付かなかったのでしょうか😟"
80,2022-12-22 13:40:45+00:00,MrTabbycatowner,"金堂本尊木造薬師如来が造られたのは、天然痘が流行っていたり、政治も荒れてしまっている頃だったらしく、だから厳しそうなお顔をされているのだと教えて頂きました。
堂内撮影禁止だったので、外観のみお写真頂きました。"
81,2022-12-22 13:40:43+00:00,kiyota_ishin,@Naranoharu 僕は香芝で幼少期から育ち、今も香芝に住みつつ大阪で社労士業を営んでいます。友人や地元、そして働かれている方々の声を聞く中で感じた課題を解決したいと思い政治活動を続けています。県や市に役割の違いはあれど、香芝の皆様にとって日本維新の会の清田が一つの選択肢になれる様努力していきます。
82,2022-12-22 13:40:43+00:00,n_kuramoto,@KS_1013 国際政治chに出たかったのでは？
83,2022-12-22 13:40:41+00:00,goumoumegane,"国会、政治家の答弁の原稿とか官僚が頑張るのだけど、
如何せん過密スケジュールでかつ会議が長すぎるしダラダラなのよね

そりゃ寝るよ"
84,2022-12-22 13:40:40+00:00,nekolady_,"日本の馬鹿共も弱者批判するんじゃなくて
政治家や権力者強者批判しろよな
弱者批判したってなんも変わんねえし
それこそ政治家共の思う壺だろ
それでも弱虫ばっかだから怒りを
弱者にしか向けれねえんだろ。
ゴミクズが。"
85,2022-12-22 13:40:40+00:00,NuY4HcDmMcb5BtI,@donnnamonjya_tv 政治家ども
86,2022-12-22 13:40:39+00:00,yugi_metabot,"政治のことよく知らずにかつ政党や議員を支持してる個人を冷たい目でみる人ってどういう神経してるんすかね
そのわずかな人類の黄昏に楽園を享受したいのかな"
87,2022-12-22 13:40:32+00:00,hihumi_yoitu,"@konotarogomame 「政治家からの寄付」はNGだけど
「政治家からの寄付呼び掛け」はOKなのか

被災地とかに送る義援金とかたまに見るけど個人が対象でもいいんだね

政治家に限らず発信力のある人は偽善でも何でもいいからどんどんやって欲しいね。"
88,2022-12-22 13:40:31+00:00,komura_chan,政治家だお #小村寿太郎てゃんかわいい
89,2022-12-22 13:40:29+00:00,GouKaede1,"安倍政権は多くの罪を犯してきたが、一番の大罪はバカにもできる政治を広めたこと💢
今を見れば納得。 https://t.co/Ev7EkfT0R3"
90,2022-12-22 13:40:29+00:00,kevin_lemur_bot,"政治とか国とか言う前に
まず自分自身をどうにかしないと。"
91,2022-12-22 13:40:28+00:00,plopola2021,@490709y 政府や政治家を批判するだけではなく、考えてみよう。国民にも政府と同様の責任があることを、しっかりと胸に刻もう。
92,2022-12-22 13:40:22+00:00,MX2JTSuC278lqKn,"インボイス制度は止められない？
日本の政治の主権者は市民です
市民の過半数が声を上げれば政治は変わります、この政党のように！

#ボイコット大作戦 

#STOPインボイス 署名募集中
https://t.co/orbTZZinEf
#立憲有志、#日本共産党、#れいわ新選組、#社民党 https://t.co/yHTrVyFMoh"
93,2022-12-22 13:40:18+00:00,Mishima_Words,政治的スローガンとか、思想とか、さういふ痛くも痒くもないものには、人間は喜んで普遍性と共有性を認めます。毒にも薬にもならない古くさい建築や美術品は、やすやすと人類共有の文化的遺産になります
94,2022-12-22 13:40:17+00:00,izk_kwkntn,"政治家じゃないんだから一回の失言で殺そうとしなくてもいいじゃないか
というと政治家なら殺していいように聞こえる"
95,2022-12-22 13:40:14+00:00,kamegon_ube,旧統一教会関連議員も政治的に弔えばって思う。 #NHKジャーナル
96,2022-12-22 13:40:13+00:00,papacocha,"「世界で
　何かを変えたければ

　まずは
　自分が
　変わらなければ
　なりません」

by マハトマ・ガンジー
　【インドの政治指導者】"
97,2022-12-22 13:40:10+00:00,apda_bot,このアジア人口事情視察は、その後の日本人の人口分野における国際協力を大きく前進させ、また私にとっても、政治家としての使命感を改めて植えつけられたという意味において、画期的なものであった。〔佐藤隆『人口・開発・食糧を考える』より〕
98,2022-12-22 13:40:09+00:00,strawberry_ww,そう思いたいところですが…政治を変えないと何も変わらない😭 https://t.co/4plmBBe8tj
99,2022-12-22 13:40:09+00:00,hyaku_oyaji,ですね。
100,2022-12-22 13:40:06+00:00,Ne1Si0,"やはり､政治と宗教が一緒ではいけません！
そもそも､宗教とは言い難い団体(カルト)に限って､自分たちの都合のいいように変えようと思って､政治に関与してくる
すでに､一部､変えられた弊害がある
それは､ストーカー規制法である
怨恨や逆恨みは､対象外
#集団ストーカー
https://t.co/ThnFXDHWdb"
101,2022-12-22 13:40:06+00:00,objecti22006399,山本先生のNHK講座、政治的なるもの第2回、見るの忘れてた…
102,2022-12-22 13:40:05+00:00,XVFORVX,"この物語は ある政治家から始まる
彼は若くて野心家だった
深く神を信じる保守党員でもあった
だが こうと決めたらルールなど一切無用
#V_for_Vendetta"
103,2022-12-22 13:40:02+00:00,Nagasakinomirai,"【長崎】新大工町商店街振興組合が長崎大学経済学部の移転反対(長崎文化放送)
#Yahooニュース
https://t.co/RbfpyEddFp"
104,2022-12-22 13:40:00+00:00,nikkeiseijibu,"岸田政権は廃止が決まった原子力発電所を建て替え、運転期間を現在の最長60年から延長する方針を打ち出しました。エネルギー政策の転換となります。

https://t.co/D7X3Gj2S4m"
105,2022-12-22 13:39:56+00:00,atsu_the_scrap,"選挙は否定してませんよ。
参入障壁が高いから政治家になろうとする人間を増やすことがず、競争原理が働かないことを批判しています。 https://t.co/4VX9C3AW7x"
106,2022-12-22 13:39:55+00:00,KOVgZHwz8I3RgXS,@tachibanat @YouTube 国政政党の党首として、覚悟と責任を果たすべく迅速かつ明確な見解を発信出来る能力、自身の決断に対して発生した問題から逃げない政治家の姿が深夜の動画の中にあった。覚悟を持った人間の言葉を姿勢を見るのではなく感じて欲しい…
107,2022-12-22 13:39:47+00:00,zy_human_jp,"12/21(水)放送の菅義偉 前総理が出演されたBS11「リベラルタイム」の見逃し配信が放送終了後2週間限定でされているようです。

リベラルタイム「菅義偉前首相に聞く！『決断の政治』」
ゲスト：菅 義偉（前首相）
「決断の政治」と題して、菅内閣の足跡をたどります。
https://t.co/baxSANGyPM"
108,2022-12-22 13:39:46+00:00,RevenantDIY2,"@041105290523n 小麦入ってましたね😑
醤油って小麦なしじゃ成立しないって事…ガン患者は、醤油はダメなんだ…🫠

また調べてみようかな。
この調べる行為が後回しになるので食生活がすぐに変わらないといいますか😅

子供のうちから、食育身に付ければ最強かも知れません。大人になってどれがいいと調べるのツラいw https://t.co/wbv6Lf2tAr"
109,2022-12-22 13:39:46+00:00,yukidar01571159,"BUCK-TICKの話から政治の話しまで。
色々話ができる仲間はありがたい。
そして、次は武道館で！と来週の約束もできるのが良き。"
110,2022-12-22 13:39:43+00:00,aka_0942,"増税大好き岸田総理に議員税を導入してもらいましょう。
居眠りや仕事をしていない政治家を対象にとる形で https://t.co/U0WKB7z7zy"
111,2022-12-22 13:39:42+00:00,exgalbatron1,"環境保護を建前にして環境破壊を繰り広げる太陽光発電そろそろ止める様にしてくれよぉ
ソーラーパネル言うとる政治家や大企業の人達はどうせ環境保護なんて見向きもしてないやん https://t.co/syfkDRvB2k"
112,2022-12-22 13:39:37+00:00,yyy_ark81,"オレは.政治的な主張を する も しない も本人次第と思う。

リリースおめでとう！！ https://t.co/3itVSlJChO"
113,2022-12-22 13:39:36+00:00,K_k_s_g_t_,年収500裕福なら日本の政治は間違ってる
114,2022-12-22 13:39:31+00:00,MtFuji39944237,@Dgoutokuji そういう事じゃないと思う。政治家は365日美味い飯食っちゃいけないのか？
115,2022-12-22 13:39:29+00:00,seikei_polieco,&lt;自由権&gt;18世紀的権利、「国家からの自由」=消極的権利
116,2022-12-22 13:39:21+00:00,lalalaicos,古い政治のゴタゴタの結果とかなしの国民と同じ民族出身で神話から連なる王を冠してるってかなり稀有でありがたいことなのかもしれないな
117,2022-12-22 13:39:19+00:00,KKCD2006,『大学入試共通テスト政治・経済集中講義』 24分 https://t.co/4KXhwOaTkO #studyplus
118,2022-12-22 13:39:17+00:00,teruten8118,"防衛費増額には自衛官の給与も含まれているのかな？

自衛官は特別職国家公務員
政治家は特別職国家公務員

まさか増税して自分達の給料をあげるわけないよね？
#防衛費増額"
119,2022-12-22 13:39:15+00:00,satoshi6210,政党政治の崩壊　満州事変　二つの事件
120,2022-12-22 13:39:13+00:00,Wingman18c,@Teacher_Windowz マジで国民総出で日本の政治形態を一旦全て解体しよう。無駄な政治家と政党が多いからまず政党を二つだけにしよう。その後は残った人間でバトルロワイヤル、生き残りをかけて自分の政治家としての自己PRをし続けてもらおう。もし使えないなら国民投票で更に切ろう。歴戦の勇者を作って総理大臣にしよう
121,2022-12-22 13:39:13+00:00,Praline200517,ないので、嫌われ者は迷惑だと思いますのでこれからも私からコメントはしない方が良いでしょう。裏で内海聡、白河三來、その他政治家、テクノロジー犯が悪口やプライバシーをまいてるか、私にそう思い込ませるようなガスライティングをコンスタントにしていることも知ってます。なので何が本当かは→
122,2022-12-22 13:39:10+00:00,A4t3TjUV,"@nanatubosi424 九州は、面白い政治色を持っていると思う。
沿道で小旗振るしぐさで。"
123,2022-12-22 13:39:07+00:00,syukyouseiji,"@La_Rumba_Buena 共産党綱領の中に下記が記されている。
９　信教の自由を擁護し、政教分離の原則の徹底をはかる。

これやったら恐ろしい世の中になるよ。
共産党のようなことをおっしゃる"
124,2022-12-22 13:39:05+00:00,o41ete,議会制民主主義の形があっても、政治家に民主主義の理念がなければ、民主主義は独裁に変化していくんだと思う。 https://t.co/cs1NXz5uzd
125,2022-12-22 13:39:04+00:00,urban_renewal,これに続くツイートで「学校側が旅行業者と協議して」と自分で書いているのだから、学校側の都合でそうなっているのが分かっているのに、「政治家と繋がってる云々…」のまま拡散するの悪質ではないか https://t.co/CDKUVced3S
